gender,age,investment_avenues,mutual_funds,equity_market,debentures,government_bonds,fixed_deposits,ppf,gold,stock_marktet,factor,objective,purpose,duration,invest_monitor,expect,avenue,savings_objective,reason_equity,reason_mutual,reason_bonds,reason_fd,source,duration_years,age_group,total_investment_score
Male,29,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,"Wealth Creation","less than 1 year",Weekly,20%-30%,"Public Provident Fund","Health Care",Dividend,"Fund Diversification","Assured Returns","Fixed Returns","Newspapers and Magazines",0.5,"Young (18–30)",28
Male,28,Yes,2,3,6,5,1,4,7,Yes,Returns,"Capital Appreciation","Wealth Creation","less than 1 year",Weekly,30%-40%,"Public Provident Fund","Retirement Plan","Capital Appreciation","Better Returns","Assured Returns","Risk Free",Television,0.5,"Young (18–30)",28
Female,28,Yes,2,3,7,5,4,1,6,Yes,Returns,"Capital Appreciation","Wealth Creation","3-5 years",Daily,10%-20%,"Mutual Fund","Health Care",Dividend,"Better Returns","Assured Returns","Risk Free","Financial Consultants",4,"Young (18–30)",28
Male,19,Yes,2,3,7,4,6,1,5,Yes,Risk,"Capital Appreciation","Wealth Creation","more than 5 years",Monthly,10%-20%,Equity,"Retirement Plan","Capital Appreciation","Better Returns","Assured Returns","Risk Free","Newspapers and Magazines",6,"Young (18–30)",28
Male,32,Yes,2,4,7,5,3,1,6,Yes,Returns,Growth,"Wealth Creation","more than 5 years",Weekly,10%-20%,"Public Provident Fund","Retirement Plan","Capital Appreciation","Better Returns","Assured Returns","Fixed Returns","Financial Consultants",6,"Mid (31–45)",28
Male,31,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,"Wealth Creation","less than 1 year",Weekly,10%-20%,"Mutual Fund","Health Care",Dividend,"Fund Diversification","Assured Returns","Fixed Returns","Newspapers and Magazines",0.5,"Mid (31–45)",28
Male,27,Yes,3,2,7,4,5,1,6,Yes,Risk,"Capital Appreciation","Wealth Creation","3-5 years",Daily,30%-40%,"Mutual Fund","Retirement Plan","Capital Appreciation","Better Returns","Assured Returns","Risk Free","Newspapers and Magazines",4,"Young (18–30)",28
Male,30,Yes,3,4,6,5,2,1,7,Yes,Returns,"Capital Appreciation","Wealth Creation","less than 1 year",Weekly,10%-20%,"Public Provident Fund","Retirement Plan","Capital Appreciation","Better Returns","Assured Returns","Risk Free","Financial Consultants",0.5,"Young (18–30)",28
Female,37,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,"Savings for Future","3-5 years",Daily,10%-20%,Equity,"Retirement Plan","Capital Appreciation","Better Returns","Assured Returns","Risk Free","Financial Consultants",4,"Mid (31–45)",28
Female,37,Yes,2,4,7,5,3,1,6,Yes,Risk,Growth,"Savings for Future","more than 5 years",Monthly,30%-40%,"Mutual Fund","Retirement Plan","Capital Appreciation","Better Returns","Assured Returns","Risk Free","Financial Consultants",6,"Mid (31–45)",28
Male,25,Yes,2,4,6,5,3,1,7,Yes,Risk,Growth,"Savings for Future","3-5 years",Weekly,30%-40%,"Mutual Fund","Health Care",Liquidity,"Better Returns","Assured Returns","Risk Free","Financial Consultants",4,"Young (18–30)",28
Male,28,Yes,1,4,6,5,3,2,7,Yes,Risk,Growth,"Wealth Creation","3-5 years",Weekly,30%-40%,"Mutual Fund","Health Care","Capital Appreciation","Better Returns","Assured Returns","Fixed Returns","Financial Consultants",4,"Young (18–30)",28
Male,30,Yes,4,3,5,7,2,1,6,Yes,Returns,"Capital Appreciation","Wealth Creation","more than 5 years",Weekly,30%-40%,"Public Provident Fund","Retirement Plan",Dividend,"Better Returns","Safe Investment","Fixed Returns","Financial Consultants",6,"Young (18–30)",28
Male,23,Yes,2,4,6,5,3,1,7,Yes,Risk,Growth,"Savings for Future","3-5 years",Weekly,10%-20%,"Public Provident Fund","Health Care",Liquidity,"Better Returns","Assured Returns","Risk Free","Financial Consultants",4,"Young (18–30)",28
